"Survey Date","Hospital Region","Hospital Region Code","Facility Type","Facility Filter","All Beds","Inpatient Beds","Inpatient Beds Used","Inpatient Beds Available","ICU Beds","ICU Beds Used","ICU Beds Available","Vents","Vents Used","Vents Available","Pos COVID","PUI Pending","Pos COVID PUI Pending","All Beds (Imputed)","Inpatient Beds (Imputed)","Inpatient Beds Used (Imputed)","Inpatient Beds Available (Imputed)","ICU Beds (Imputed)","ICU Beds Used (Imputed)","ICU Beds Available (Imputed)","Vents (Imputed)","Vents Used (Imputed)","Vents Available (Imputed)","Pos COVID (Imputed)","PUI Pending (Imputed)","Pos COVID PUI Pending (Imputed)"
04/02/2020,Anchorage,7,GACH,1,868,724,393,331,83,46,37,126,15,111,,,,868,724,393,331,83,46,37,126,15,111,,,
04/02/2020,Anchorage,7,LTACH,0,56,30,20,10,11,3,8,24,0,24,,,,56,30,20,10,11,3,8,24,0,24,,,
04/02/2020,Anchorage,7,Psych,0,244,214,141,73,0,0,0,0,0,0,,,,244,214,141,73,0,0,0,0,0,0,,,
04/02/2020,Gulf Coast,4,CAH,1,112,106,23,83,4,0,4,16,2,14,,,,112,106,23,83,4,0,4,16,2,14,,,
04/02/2020,Gulf Coast,4,GACH,1,49,43,17,26,6,1,5,7,1,6,,,,49,43,17,26,6,1,5,7,1,6,,,
04/02/2020,Interior,6,GACH,1,94,81,38,43,13,3,10,15,0,15,,,,94,81,38,43,13,3,10,15,0,15,,,
04/02/2020,Matanuska-Susitna,3,GACH,1,192,125,51,74,14,7,7,14,2,12,,,,192,125,51,74,14,7,7,14,2,12,,,
04/02/2020,Northern,2,CAH,1,47,43,21,22,0,0,0,15,0,15,,,,47,43,21,22,0,0,0,15,0,15,,,
04/02/2020,Southeast,5,CAH,1,79,75,26,49,12,0,12,25,0,25,,,,79,75,26,49,12,0,12,25,0,25,,,
04/02/2020,Southeast,5,GACH,1,81,56,18,38,9,0,9,15,0,15,,,,81,56,18,38,9,0,9,15,0,15,,,
04/02/2020,Southwest,1,CAH,1,26,12,1,11,0,0,0,2,0,2,,,,26,12,1,11,0,0,0,2,0,2,,,
04/02/2020,Southwest,1,GACH,1,62,45,10,35,8,0,8,4,0,4,,,,62,45,10,35,8,0,8,4,0,4,,,
