"Date","Borough","Cases","Cases_Last_7_Days","Rate_Last_7_Days"
2020-03-03,"Alaska",0,NA,NA
2020-03-04,"Alaska",0,NA,NA
2020-03-05,"Alaska",0,NA,NA
2020-03-06,"Alaska",0,NA,NA
2020-03-07,"Alaska",0,NA,NA
2020-03-08,"Alaska",0,NA,NA
2020-03-09,"Alaska",0,0,0
2020-03-10,"Alaska",0,0,0
2020-03-11,"Alaska",0,0,0
2020-03-12,"Alaska",0,0,0
2020-03-13,"Alaska",0,0,0
2020-03-14,"Alaska",0,0,0
2020-03-15,"Alaska",0,0,0
2020-03-16,"Alaska",3,3,0.411577397815622
2020-03-17,"Alaska",5,8,1.09753972750832
2020-03-18,"Alaska",3,11,1.50911712532395
2020-03-19,"Alaska",3,14,1.92069452313957
2020-03-20,"Alaska",1,15,2.05788698907811
2020-03-21,"Alaska",10,25,3.42981164846351
2020-03-22,"Alaska",13,38,5.21331370566454
2020-03-23,"Alaska",4,39,5.35050617160308
2020-03-24,"Alaska",7,41,5.62489110348016
2020-03-25,"Alaska",14,52,7.13400822880411
2020-03-26,"Alaska",11,60,8.23154795631243
2020-03-27,"Alaska",17,76,10.4266274113291
2020-03-28,"Alaska",19,85,11.6613596047759
2020-03-29,"Alaska",8,80,10.9753972750832
2020-03-30,"Alaska",10,86,11.7985520707145
2020-03-31,"Alaska",13,92,12.6217068663457
2020-04-01,"Alaska",8,86,11.7985520707145
2020-04-02,"Alaska",11,86,11.7985520707145
2020-04-03,"Alaska",11,80,10.9753972750832
2020-04-04,"Alaska",14,75,10.2894349453905
2020-04-05,"Alaska",6,73,10.0150500135135
2020-04-06,"Alaska",22,85,11.6613596047759
2020-04-07,"Alaska",13,85,11.6613596047759
2020-04-08,"Alaska",9,86,11.7985520707145
2020-04-09,"Alaska",11,86,11.7985520707145
2020-04-10,"Alaska",11,86,11.7985520707145
2020-04-11,"Alaska",15,87,11.935744536653
2020-04-12,"Alaska",5,86,11.7985520707145
2020-04-13,"Alaska",8,72,9.87785754757492
2020-04-14,"Alaska",8,67,9.19189521788222
2020-04-15,"Alaska",7,65,8.91751028600513
2020-04-16,"Alaska",9,63,8.64312535412805
2020-04-17,"Alaska",5,57,7.81997055849681
2020-04-18,"Alaska",5,47,6.4480458991114
2020-04-19,"Alaska",2,44,6.03646850129578
2020-04-20,"Alaska",8,44,6.03646850129578
2020-04-21,"Alaska",6,42,5.7620835694187
2020-04-22,"Alaska",2,37,5.076121239726
2020-04-23,"Alaska",2,30,4.11577397815622
2020-04-24,"Alaska",0,25,3.42981164846351
2020-04-25,"Alaska",2,22,3.01823425064789
2020-04-26,"Alaska",4,24,3.29261918252497
2020-04-27,"Alaska",6,22,3.01823425064789
2020-04-28,"Alaska",4,20,2.74384931877081
2020-04-29,"Alaska",0,18,2.46946438689373
2020-04-30,"Alaska",9,25,3.42981164846351
2020-05-01,"Alaska",1,26,3.56700411440205
2020-05-02,"Alaska",3,27,3.70419658034059
2020-05-03,"Alaska",2,25,3.42981164846351
2020-05-04,"Alaska",1,20,2.74384931877081
2020-05-05,"Alaska",1,17,2.33227192095519
2020-05-06,"Alaska",2,19,2.60665685283227
2020-05-07,"Alaska",3,13,1.78350205720103
2020-05-08,"Alaska",1,13,1.78350205720103
2020-05-09,"Alaska",1,11,1.50911712532395
2020-05-10,"Alaska",2,11,1.50911712532395
2020-05-11,"Alaska",2,12,1.64630959126249
2020-05-12,"Alaska",1,12,1.64630959126249
2020-05-13,"Alaska",5,15,2.05788698907811
2020-05-14,"Alaska",1,13,1.78350205720103
2020-05-15,"Alaska",4,16,2.19507945501665
2020-05-16,"Alaska",4,19,2.60665685283227
2020-05-17,"Alaska",3,20,2.74384931877081
2020-05-18,"Alaska",0,18,2.46946438689373
2020-05-19,"Alaska",3,20,2.74384931877081
2020-05-20,"Alaska",0,15,2.05788698907811
2020-05-21,"Alaska",2,16,2.19507945501665
2020-05-22,"Alaska",4,16,2.19507945501665
2020-05-23,"Alaska",0,12,1.64630959126249
2020-05-24,"Alaska",1,10,1.37192465938541
2020-05-25,"Alaska",2,12,1.64630959126249
2020-05-26,"Alaska",1,10,1.37192465938541
2020-05-27,"Alaska",13,23,3.15542671658643
2020-05-28,"Alaska",5,26,3.56700411440205
2020-05-29,"Alaska",3,25,3.42981164846351
2020-05-30,"Alaska",28,53,7.27120069474265
2020-05-31,"Alaska",7,59,8.09435549037389
2020-06-01,"Alaska",20,77,10.5638198772676
2020-06-02,"Alaska",18,94,12.8960917982228
2020-06-03,"Alaska",10,91,12.4845144004072
2020-06-04,"Alaska",11,97,13.3076691960384
2020-06-05,"Alaska",12,106,14.5424013894853
2020-06-06,"Alaska",8,86,11.7985520707145
2020-06-07,"Alaska",18,97,13.3076691960384
2020-06-08,"Alaska",11,88,12.0729370025916
2020-06-09,"Alaska",20,90,12.3473219344686
2020-06-10,"Alaska",18,98,13.444861661977
2020-06-11,"Alaska",14,101,13.8564390597926
2020-06-12,"Alaska",26,115,15.7771335829322
2020-06-13,"Alaska",9,116,15.9143260488707
2020-06-14,"Alaska",3,101,13.8564390597926
2020-06-15,"Alaska",13,103,14.1308239916697
2020-06-16,"Alaska",20,103,14.1308239916697
2020-06-17,"Alaska",12,97,13.3076691960384
2020-06-18,"Alaska",16,99,13.5820541279155
2020-06-19,"Alaska",21,94,12.8960917982228
2020-06-20,"Alaska",11,96,13.1704767300999
2020-06-21,"Alaska",6,99,13.5820541279155
2020-06-22,"Alaska",16,102,13.9936315257311
2020-06-23,"Alaska",14,96,13.1704767300999
2020-06-24,"Alaska",24,108,14.8167863213624
2020-06-25,"Alaska",18,110,15.0911712532395
2020-06-26,"Alaska",19,108,14.8167863213624
2020-06-27,"Alaska",29,126,17.2862507082561
2020-06-28,"Alaska",21,141,19.3441376973342
2020-06-29,"Alaska",36,161,22.087987016105
2020-06-30,"Alaska",38,185,25.38060619863
2020-07-01,"Alaska",38,199,27.3013007217696
2020-07-02,"Alaska",45,226,31.0054973021102
2020-07-03,"Alaska",49,256,35.1212712802664
2020-07-04,"Alaska",27,254,34.8468863483893
2020-07-05,"Alaska",27,260,35.6700411440205
2020-07-06,"Alaska",18,242,33.2005767571268
2020-07-07,"Alaska",40,244,33.4749616890039
2020-07-08,"Alaska",47,253,34.7096938824508
2020-07-09,"Alaska",50,258,35.3956562121435
2020-07-10,"Alaska",63,272,37.316350735283
2020-07-11,"Alaska",92,337,46.2338610212882
2020-07-12,"Alaska",59,369,50.6240199313214
2020-07-13,"Alaska",43,394,54.053831579785
2020-07-14,"Alaska",51,405,55.5629487051089
2020-07-15,"Alaska",63,421,57.7580281601256
2020-07-16,"Alaska",42,413,56.6604884326172
2020-07-17,"Alaska",62,412,56.5232959666787
2020-07-18,"Alaska",83,403,55.2885637732318
2020-07-19,"Alaska",73,417,57.2092582963714
2020-07-20,"Alaska",90,464,63.6573041954828
2020-07-21,"Alaska",94,507,69.55658023084
2020-07-22,"Alaska",64,508,69.6937726967786
2020-07-23,"Alaska",56,522,71.6144672199181
2020-07-24,"Alaska",88,548,75.1814713343202
2020-07-25,"Alaska",185,650,89.1751028600513
2020-07-26,"Alaska",94,671,92.0561446447607
2020-07-27,"Alaska",109,690,94.662801497593
2020-07-28,"Alaska",68,664,91.0957973831909
2020-07-29,"Alaska",84,684,93.8396467019617
2020-07-30,"Alaska",107,735,100.836462464827
2020-07-31,"Alaska",145,792,108.656433023324
2020-08-01,"Alaska",135,742,101.796809726397
