"Date","ILI","CLI"
2022-04-24,2.05035,2.465611
2022-04-17,1.855618,2.376716
2022-04-10,1.449275,2.273634
2022-04-03,1.032172,2.131367
2022-03-27,0.796919,2.35091
2022-03-20,0.834879,2.146833
2022-03-13,0.973751,2.455546
2022-03-06,0.722674,2.514303
2022-02-27,1.273247,3.333333
2022-02-20,1.078246,3.61358
2022-02-13,1.120703,5.194609
2022-02-06,1.094125,6.879496
2022-01-30,1.23348,8.399413
2022-01-23,1.809758,12.060229
2022-01-16,2.80399,13.669453
2022-01-09,4.284559,12.35516
2022-01-02,4.921153,9.339315
2021-12-26,5.641919,6.419191
2021-12-19,4.670415,4.717276
2021-12-12,4.19241,3.780524
2021-12-05,2.183406,4.169601
2021-11-28,2.0014,5.024493
2021-11-21,1.442084,5.411692
2021-11-14,1.546238,5.857865
2021-11-07,1.469061,6.603354
2021-10-31,1.442375,7.197871
2021-10-24,1.268961,8.707701
2021-10-17,1.213073,10.960468
2021-10-10,1.62413,10.556845
2021-10-03,1.543027,9.896142
2021-09-26,1.428363,9.634164
2021-09-19,1.270933,10.316986
2021-09-12,1.732638,11.48049
2021-09-05,1.996562,11.040592
2021-08-29,1.441283,8.760496
2021-08-22,1.427999,7.727212
2021-08-15,1.217253,7.382906
2021-08-08,1.390483,6.059446
2021-08-01,1.142041,5.448489
2021-07-25,1.320825,4.666091
2021-07-18,1.162642,4.050083
2021-07-11,0.86536,2.81242
2021-07-04,1.183835,2.190774
2021-06-27,1.026908,1.55986
2021-06-20,1.130856,1.480883
2021-06-13,0.711257,1.080564
2021-06-06,0.612912,1.171343
2021-05-30,0.720892,1.713819
2021-05-23,0.984944,1.463346
2021-05-16,0.683785,1.562936
2021-05-09,0.935374,1.714853
2021-05-02,0.856862,2.528445
2021-04-25,0.492813,2.614648
2021-04-18,0.616311,2.995557
2021-04-11,0.551627,2.602546
2021-04-04,0.821018,2.761606
2021-03-28,0.750577,2.627021
NA,NA,NA
